event_id,dept_id,risk_type,severity,date
236,105,System Downtime,Low,2024-08-04
237,104,Process Failure,High,2024-10-09
238,105,Process Failure,High,2024-04-01
239,103,Compliance Breach,Critical,2024-06-15
240,101,Compliance Breach,Medium,2024-04-04
241,103,System Downtime,Critical,2024-05-16
242,105,Compliance Breach,Medium,2024-05-12
243,104,System Downtime,Low,2024-01-16
244,104,Process Failure,Medium,2024-06-19
245,102,Process Failure,Critical,2024-11-07
246,103,System Downtime,Critical,2024-07-03
247,102,Fraud Alert,Critical,2024-03-29
248,103,Fraud Alert,High,2024-11-27
249,104,Process Failure,Low,2024-04-20
250,102,System Downtime,High,2024-07-04
251,101,Process Failure,Low,2024-09-13
252,104,Compliance Breach,High,2024-06-28
253,101,Fraud Alert,Low,2024-12-21
254,104,Fraud Alert,Medium,2024-06-16
255,105,System Downtime,Critical,2024-04-29
256,101,Process Failure,Medium,2024-08-23
257,102,Compliance Breach,Low,2024-12-10
258,103,System Downtime,Critical,2024-11-17
259,105,Compliance Breach,Medium,2024-10-24
260,103,Fraud Alert,Critical,2024-08-19
261,103,Process Failure,Low,2024-05-28
262,102,Fraud Alert,Critical,2024-10-13
263,105,Compliance Breach,Medium,2024-08-30
264,102,Process Failure,Critical,2024-07-11
265,103,Compliance Breach,Medium,2024-05-19
266,101,System Downtime,Critical,2024-11-05
267,104,Process Failure,High,2024-12-17
268,105,Compliance Breach,Critical,2024-07-29
269,103,System Downtime,Low,2024-05-16
270,104,System Downtime,Critical,2024-01-14
271,102,System Downtime,Low,2024-08-15
272,104,Process Failure,Medium,2024-02-01
273,103,Process Failure,High,2024-03-14
274,104,System Downtime,Low,2024-07-24
275,103,Compliance Breach,High,2024-09-02
276,101,Compliance Breach,Critical,2024-11-09
277,102,System Downtime,High,2024-11-27
278,101,Compliance Breach,High,2024-02-08
279,102,Fraud Alert,Medium,2024-05-24
280,102,Fraud Alert,High,2024-06-14
281,101,Process Failure,Medium,2024-11-18
282,103,Compliance Breach,Critical,2024-11-08
283,103,System Downtime,High,2024-11-03
284,104,Fraud Alert,Low,2024-09-16
285,101,Fraud Alert,Low,2024-03-02
286,104,System Downtime,Critical,2024-02-04
287,102,System Downtime,Medium,2024-11-02
288,105,Fraud Alert,Medium,2024-06-20
289,104,Fraud Alert,High,2024-08-13
290,104,System Downtime,Critical,2024-04-01
291,104,Compliance Breach,Critical,2024-06-12
292,104,Fraud Alert,High,2024-04-01
293,103,Process Failure,High,2024-11-08
294,103,Compliance Breach,High,2024-03-29
295,104,Fraud Alert,Medium,2024-11-29
296,104,Compliance Breach,Low,2024-05-01
297,103,System Downtime,High,2024-03-02
298,103,Fraud Alert,Low,2024-02-26
299,104,Fraud Alert,Medium,2024-05-13
300,101,Process Failure,Critical,2024-07-16
301,103,Compliance Breach,High,2024-09-29
302,101,Compliance Breach,Low,2024-07-16
303,102,Process Failure,High,2024-07-06
304,103,Compliance Breach,Critical,2024-12-08
305,105,Fraud Alert,High,2024-01-09
306,105,System Downtime,High,2024-05-19
307,101,Compliance Breach,Critical,2024-11-14
308,101,Compliance Breach,High,2024-01-01
309,101,Fraud Alert,High,2024-12-22
310,103,System Downtime,Low,2024-03-16
311,102,Process Failure,Low,2024-12-11
312,105,System Downtime,Critical,2024-07-06
313,105,Compliance Breach,Medium,2024-07-25
314,104,Process Failure,Medium,2024-07-17
315,102,System Downtime,High,2024-02-10
316,101,Fraud Alert,Medium,2024-03-06
317,102,Fraud Alert,Medium,2024-11-22
318,102,Fraud Alert,Critical,2024-06-24
319,104,Fraud Alert,Medium,2024-07-21
320,104,Compliance Breach,Critical,2024-08-29
321,102,System Downtime,Medium,2024-12-30
322,103,Fraud Alert,Low,2024-08-25
323,104,Process Failure,Critical,2024-03-15
324,102,Compliance Breach,Critical,2024-03-10
325,103,Process Failure,Critical,2024-07-08
326,102,Process Failure,Low,2024-06-09
327,102,Fraud Alert,Low,2024-10-05
328,105,Fraud Alert,Low,2024-02-10
329,103,Fraud Alert,Low,2024-06-28
330,101,Compliance Breach,Critical,2024-01-18
331,101,Compliance Breach,High,2024-07-02
332,102,Process Failure,Medium,2024-09-25
333,103,Process Failure,Medium,2024-12-27
334,103,Process Failure,Medium,2024-11-11
335,102,System Downtime,Medium,2024-08-24
336,102,Process Failure,Medium,2024-09-21
337,105,Fraud Alert,Critical,2024-12-13
338,101,Fraud Alert,High,2024-03-11
339,102,System Downtime,Critical,2024-06-07
340,105,System Downtime,High,2024-12-23
341,105,Fraud Alert,Critical,2024-11-28
342,101,Compliance Breach,High,2024-01-29
343,104,System Downtime,Medium,2024-02-22
344,104,Fraud Alert,Low,2024-11-27
345,103,System Downtime,Low,2024-12-08
346,103,Compliance Breach,Medium,2024-10-31
347,105,Process Failure,Critical,2024-06-26
348,104,Fraud Alert,Critical,2024-06-01
349,103,Process Failure,High,2024-04-27
350,103,Process Failure,Medium,2024-05-28
351,104,Compliance Breach,High,2024-09-24
352,101,Compliance Breach,High,2024-03-09
353,105,System Downtime,Medium,2024-07-13
354,105,Compliance Breach,Low,2024-03-24
355,101,System Downtime,Critical,2024-11-29
356,104,Fraud Alert,Medium,2024-12-07
357,103,Compliance Breach,High,2024-12-06
358,105,Process Failure,Critical,2024-02-09
359,103,System Downtime,High,2024-11-21
360,105,Compliance Breach,Critical,2024-12-10
361,103,Process Failure,Critical,2024-04-20
362,105,Process Failure,High,2024-09-25
363,102,System Downtime,Low,2024-05-18
364,104,Process Failure,Critical,2024-02-11
365,101,Compliance Breach,Medium,2024-07-16
366,104,System Downtime,High,2024-08-23
367,102,Compliance Breach,High,2024-09-01
368,105,System Downtime,Medium,2024-04-15
369,101,System Downtime,Medium,2024-11-28
370,102,Fraud Alert,Medium,2024-12-02
371,104,System Downtime,Critical,2024-03-05
372,103,System Downtime,Low,2024-10-09
373,101,Process Failure,High,2024-02-04
374,101,Process Failure,High,2024-09-04
375,101,Compliance Breach,Medium,2024-02-22
376,103,Compliance Breach,Low,2024-07-07
377,101,System Downtime,Critical,2024-04-18
378,104,Process Failure,High,2024-01-06
379,102,Compliance Breach,Low,2024-12-20
380,102,System Downtime,Critical,2024-10-15
381,103,System Downtime,Medium,2024-04-04
382,104,Compliance Breach,Low,2024-08-29
383,105,Process Failure,Medium,2024-05-20
384,102,System Downtime,Critical,2024-09-28
385,104,Process Failure,Medium,2024-06-14
386,101,Process Failure,Critical,2024-03-21
387,101,Fraud Alert,Critical,2024-07-24
388,105,System Downtime,Critical,2024-11-09
389,105,Process Failure,Low,2024-03-20
390,103,Fraud Alert,Critical,2024-05-03
391,101,Compliance Breach,High,2024-10-20
392,103,System Downtime,High,2024-07-11
393,102,System Downtime,High,2024-12-17
394,101,System Downtime,Medium,2024-04-23
395,104,Compliance Breach,Critical,2024-03-04
396,101,Compliance Breach,Medium,2024-10-31
397,105,Compliance Breach,Low,2024-01-28
398,105,Process Failure,High,2024-06-05
399,105,Process Failure,Critical,2024-02-16
400,103,Compliance Breach,Low,2024-04-20
401,101,Compliance Breach,Low,2024-05-15
402,101,Fraud Alert,Low,2024-09-03
403,105,Process Failure,Low,2024-08-13
404,103,Fraud Alert,Low,2024-11-06
405,104,Fraud Alert,Critical,2024-11-13
406,101,System Downtime,High,2024-05-20
407,105,Compliance Breach,Low,2024-09-14
408,102,System Downtime,Low,2024-06-09
409,104,Compliance Breach,Low,2024-04-02
410,102,Process Failure,Medium,2024-08-31
411,102,Compliance Breach,Medium,2024-01-01
412,101,Process Failure,Low,2024-03-21
413,102,Process Failure,Medium,2024-06-19
414,105,Compliance Breach,High,2024-09-06
415,102,System Downtime,Low,2024-05-26
416,104,Fraud Alert,Medium,2024-10-06
417,105,Fraud Alert,Critical,2024-04-29
418,105,Process Failure,Medium,2024-06-24
419,104,System Downtime,Low,2024-09-12
420,102,Process Failure,Low,2024-09-17
421,104,Process Failure,Low,2024-03-18
422,104,System Downtime,Medium,2024-09-24
423,104,Fraud Alert,Medium,2024-02-04
424,103,Fraud Alert,High,2024-09-10
425,103,Compliance Breach,High,2024-05-11
426,104,System Downtime,High,2024-01-31
427,105,Fraud Alert,Critical,2024-06-02
428,102,Compliance Breach,High,2024-10-14
429,104,System Downtime,Critical,2024-05-31
430,101,System Downtime,Medium,2024-01-02
431,102,Process Failure,Critical,2024-09-14
432,105,Fraud Alert,Medium,2024-06-06
433,101,Fraud Alert,Low,2024-05-23
434,102,Fraud Alert,High,2024-07-24
435,105,Process Failure,Medium,2024-01-25
436,103,System Downtime,High,2024-05-13
437,103,Fraud Alert,High,2024-06-28
438,104,Process Failure,Low,2024-11-23
439,102,Process Failure,Critical,2024-03-07
440,101,Compliance Breach,High,2024-01-19
441,104,Fraud Alert,High,2024-02-29
442,104,Compliance Breach,Low,2024-10-30
443,104,Process Failure,Medium,2024-02-07
444,103,Compliance Breach,High,2024-09-13
445,102,Compliance Breach,Medium,2024-07-19
446,105,Process Failure,High,2024-12-29
447,102,System Downtime,Low,2024-01-19
448,101,System Downtime,High,2024-12-21
449,102,Compliance Breach,Critical,2024-11-25
450,104,Fraud Alert,Low,2024-03-31
451,101,Compliance Breach,High,2024-03-12
452,104,System Downtime,Critical,2024-05-02
453,101,Fraud Alert,Critical,2024-05-05
454,103,System Downtime,High,2024-12-14
455,103,System Downtime,Medium,2024-07-13
456,105,Process Failure,Low,2024-04-15
457,102,Compliance Breach,Medium,2024-10-17
458,102,Fraud Alert,Low,2024-03-17
459,103,Compliance Breach,Medium,2024-03-10
460,101,Fraud Alert,High,2024-03-22
461,104,Compliance Breach,High,2024-07-13
462,104,Process Failure,Low,2024-07-09
463,105,Compliance Breach,Critical,2024-08-12
464,104,Compliance Breach,Critical,2024-10-01
465,101,Compliance Breach,Medium,2024-08-01
466,105,Compliance Breach,Medium,2024-10-15
467,102,Process Failure,Medium,2024-10-06
468,104,System Downtime,Critical,2024-12-18
469,101,System Downtime,Critical,2024-02-06
470,104,System Downtime,High,2024-09-03
471,104,System Downtime,High,2024-05-18
472,101,Compliance Breach,Low,2024-03-29
473,104,Fraud Alert,Medium,2024-11-07
474,102,Process Failure,Critical,2024-04-14
475,101,Process Failure,Critical,2024-01-29
476,105,Compliance Breach,High,2024-01-06
477,102,System Downtime,Medium,2024-06-07
478,104,Fraud Alert,Low,2024-07-31
479,105,Process Failure,High,2024-01-20
480,102,System Downtime,Critical,2024-09-15
481,101,Fraud Alert,Medium,2024-03-16
482,103,System Downtime,Critical,2024-10-02
483,105,Compliance Breach,Critical,2024-07-03
484,102,Process Failure,High,2024-08-11
485,102,System Downtime,Medium,2024-04-05
486,102,Process Failure,Low,2024-08-31
487,101,Fraud Alert,Critical,2024-06-14
488,103,Fraud Alert,High,2024-02-09
489,101,Compliance Breach,Low,2024-12-04
490,103,Compliance Breach,High,2024-04-19
491,101,Compliance Breach,Medium,2024-05-16
492,101,Compliance Breach,Critical,2024-02-11
493,105,Compliance Breach,Medium,2024-08-17
494,104,System Downtime,Medium,2024-11-07
495,101,Process Failure,Low,2024-01-31
496,104,System Downtime,Medium,2024-06-29
497,101,Process Failure,Low,2024-08-28
498,103,Process Failure,Critical,2024-05-18
499,101,Fraud Alert,High,2024-01-07
500,105,System Downtime,Low,2024-10-16
501,101,Compliance Breach,High,2024-03-24
502,105,System Downtime,Medium,2024-02-01
503,101,Compliance Breach,Critical,2024-11-03
504,103,System Downtime,Medium,2024-06-07
505,104,Compliance Breach,Low,2024-11-26
506,101,System Downtime,Medium,2024-09-21
507,105,Compliance Breach,High,2024-06-14
508,101,Fraud Alert,High,2024-02-21
509,105,Process Failure,Low,2024-09-21
510,101,System Downtime,High,2024-01-29
511,103,Fraud Alert,High,2024-10-18
512,103,System Downtime,High,2024-09-16
513,103,Compliance Breach,Critical,2024-09-21
514,104,System Downtime,Medium,2024-09-13
515,105,Process Failure,High,2024-07-19
516,102,System Downtime,High,2024-09-10
517,102,Fraud Alert,High,2024-10-30
518,101,Compliance Breach,Medium,2024-02-06
519,103,System Downtime,Critical,2024-03-09
520,104,System Downtime,Medium,2024-12-10
521,102,Fraud Alert,Critical,2024-09-15
522,105,Fraud Alert,High,2024-07-08
523,101,Compliance Breach,High,2024-06-12
524,104,System Downtime,Low,2024-09-09
525,105,Compliance Breach,Critical,2024-09-18
526,102,System Downtime,High,2024-11-12
527,103,System Downtime,Critical,2024-05-18
528,105,System Downtime,Low,2024-10-23
529,103,Compliance Breach,Medium,2024-09-20
530,104,System Downtime,High,2024-06-04
531,103,System Downtime,Critical,2024-07-16
532,104,Fraud Alert,High,2024-03-30
533,105,System Downtime,High,2024-10-21
534,105,Fraud Alert,Critical,2024-02-09
535,101,Process Failure,Low,2024-10-17
536,101,System Downtime,Low,2024-02-23
537,104,System Downtime,Critical,2024-04-09
538,102,System Downtime,Medium,2024-01-30
539,102,Compliance Breach,Medium,2024-05-20
540,105,Compliance Breach,Low,2024-05-19
541,103,Compliance Breach,Critical,2024-05-17
542,103,Fraud Alert,High,2024-03-06
543,103,Fraud Alert,Low,2024-09-08
544,103,System Downtime,Critical,2024-06-27
545,105,Process Failure,High,2024-09-01
546,105,Fraud Alert,Low,2024-10-15
547,101,Process Failure,Medium,2024-07-25
548,101,System Downtime,Critical,2024-08-05
549,102,Process Failure,Medium,2024-01-03
550,103,Compliance Breach,High,2024-07-22
551,103,System Downtime,High,2024-03-19
552,105,Process Failure,Low,2024-12-22
553,103,System Downtime,Medium,2024-10-22
554,103,Process Failure,Low,2024-09-15
555,104,Compliance Breach,Medium,2024-04-17
556,101,Fraud Alert,High,2024-09-20
557,101,Process Failure,Medium,2024-10-19
558,101,System Downtime,Medium,2024-05-30
559,102,Compliance Breach,Low,2024-09-14
560,104,System Downtime,High,2024-04-09
561,105,Compliance Breach,Critical,2024-03-25
562,103,Compliance Breach,High,2024-09-28
563,105,Process Failure,Critical,2024-12-31
564,101,System Downtime,Low,2024-08-14
565,101,System Downtime,High,2024-02-28
566,102,Process Failure,High,2024-09-24
567,105,Fraud Alert,Low,2024-06-16
568,104,Fraud Alert,Critical,2024-07-26
569,103,Fraud Alert,Low,2024-02-26
570,102,Process Failure,Critical,2024-04-09
571,102,System Downtime,Medium,2024-05-27
572,104,System Downtime,Low,2024-05-20
573,104,Fraud Alert,Low,2024-04-30
574,102,Compliance Breach,Low,2024-06-25
575,104,Fraud Alert,Low,2024-01-05
576,104,Process Failure,Critical,2024-08-02
577,102,Compliance Breach,Critical,2024-04-14
578,105,System Downtime,Medium,2024-10-01
579,103,Compliance Breach,Critical,2024-10-23
580,102,Process Failure,High,2024-04-15
581,104,Compliance Breach,Low,2024-06-30
582,103,System Downtime,Low,2024-01-09
583,105,System Downtime,Medium,2024-08-29
584,102,Process Failure,Low,2024-03-11
585,105,Fraud Alert,Medium,2024-12-10
586,101,Compliance Breach,Low,2024-04-03
587,105,Compliance Breach,Low,2024-06-12
588,103,Compliance Breach,Low,2024-05-17
589,101,Compliance Breach,High,2024-06-30
590,105,Compliance Breach,Low,2024-04-15
591,101,Compliance Breach,High,2024-07-28
592,101,Compliance Breach,Critical,2024-05-23
593,101,System Downtime,Low,2024-07-06
594,101,Compliance Breach,Medium,2024-10-19
595,101,Fraud Alert,Low,2024-11-17
596,105,Process Failure,Low,2024-06-24
597,104,Compliance Breach,Critical,2024-04-08
598,102,System Downtime,Critical,2024-06-19
599,101,Compliance Breach,High,2024-12-01
600,104,Process Failure,Critical,2024-08-11
601,102,System Downtime,Medium,2024-11-19
602,101,Fraud Alert,Medium,2024-10-04
603,102,Compliance Breach,Critical,2024-10-25
604,105,Process Failure,Medium,2024-11-16
605,105,Fraud Alert,Low,2024-11-08
606,103,System Downtime,Low,2024-02-10
607,102,Fraud Alert,Low,2024-11-30
608,105,Compliance Breach,Low,2024-09-19
609,105,Process Failure,Medium,2024-07-21
610,101,System Downtime,Medium,2024-03-17
611,101,Process Failure,High,2024-05-18
612,105,Process Failure,Critical,2024-05-25
613,105,Fraud Alert,Medium,2024-09-01
614,102,Fraud Alert,Medium,2024-06-19
615,105,System Downtime,Medium,2024-04-21
616,103,Process Failure,Medium,2024-06-18
617,103,System Downtime,Medium,2024-01-16
618,103,Fraud Alert,Medium,2024-12-01
619,105,Compliance Breach,Critical,2024-01-11
620,104,Process Failure,High,2024-10-25
621,103,System Downtime,High,2024-07-25
622,103,Fraud Alert,Critical,2024-11-12
623,103,Compliance Breach,Low,2024-06-12
624,101,System Downtime,Low,2024-12-08
625,103,Compliance Breach,Low,2024-01-17
626,104,Process Failure,Low,2024-11-06
627,104,Compliance Breach,Low,2024-03-24
628,104,Process Failure,Medium,2024-03-08
629,105,System Downtime,Medium,2024-06-19
630,102,Process Failure,Critical,2024-08-21
631,103,Fraud Alert,Medium,2024-11-11
632,103,Process Failure,High,2024-04-19
633,101,System Downtime,Low,2024-09-28
634,105,Fraud Alert,Critical,2024-11-12
635,104,System Downtime,Medium,2024-08-01
636,105,System Downtime,Critical,2024-04-14
637,101,Compliance Breach,Medium,2024-07-28
638,103,Fraud Alert,Low,2024-11-24
639,103,Fraud Alert,Medium,2024-04-02
640,101,Process Failure,Critical,2024-12-02
641,105,System Downtime,High,2024-07-20
642,105,Compliance Breach,High,2024-12-29
643,103,Process Failure,Critical,2024-10-07
644,102,Fraud Alert,Low,2024-11-13
645,105,Process Failure,Low,2024-01-26
646,104,Process Failure,High,2024-02-03
647,105,System Downtime,Critical,2024-02-19
648,101,Compliance Breach,Low,2024-02-19
649,103,System Downtime,Low,2024-10-18
650,105,Fraud Alert,Critical,2024-05-16
651,101,Process Failure,High,2024-06-01
652,103,Compliance Breach,Critical,2024-06-14
653,102,Process Failure,High,2024-12-03
654,101,Fraud Alert,Low,2024-05-15
655,104,Compliance Breach,Medium,2024-07-01
656,103,Compliance Breach,High,2024-12-20
657,105,Compliance Breach,Medium,2024-05-29
