record_id,dept_id,date,transactions,errors,delay_minutes
378,101,2024-07-06,284,41,46
379,103,2024-09-01,153,6,54
380,101,2024-04-16,143,0,58
381,104,2024-09-05,240,21,15
382,101,2024-02-26,185,4,39
383,102,2024-04-25,366,6,53
384,105,2024-12-06,276,37,40
385,102,2024-06-01,143,8,29
386,103,2024-04-19,246,9,37
387,104,2024-07-20,278,40,18
388,105,2024-04-13,332,27,22
389,102,2024-05-09,384,42,19
390,104,2024-11-21,66,5,0
391,102,2024-07-19,369,39,43
392,101,2024-05-31,99,11,13
393,102,2024-03-22,294,27,30
394,103,2024-02-19,444,36,48
395,105,2024-05-31,259,5,53
396,104,2024-11-05,160,7,54
397,105,2024-02-29,491,72,5
398,102,2024-05-14,317,41,12
399,101,2024-12-16,475,35,21
400,104,2024-05-15,233,22,56
401,105,2024-06-29,101,1,13
402,103,2024-10-04,60,6,17
403,101,2024-07-21,194,9,40
404,102,2024-01-10,474,52,9
405,102,2024-12-28,291,35,37
406,104,2024-04-21,77,4,35
407,104,2024-01-23,270,4,19
408,103,2024-04-29,146,4,18
409,104,2024-05-01,125,10,59
410,102,2024-10-21,492,16,34
411,101,2024-12-02,440,49,12
412,105,2024-06-16,114,0,22
413,103,2024-02-27,141,3,13
414,103,2024-04-05,368,48,27
415,101,2024-11-06,492,22,45
416,104,2024-02-05,222,28,14
417,103,2024-12-17,103,11,58
418,101,2024-11-12,80,6,36
419,103,2024-02-22,66,5,43
420,102,2024-10-25,499,39,46
421,102,2024-08-11,296,8,42
422,105,2024-01-05,52,4,0
423,102,2024-10-26,106,12,57
424,102,2024-07-07,236,27,20
425,105,2024-07-30,331,9,5
426,101,2024-09-20,233,9,24
427,103,2024-12-03,424,61,40
428,101,2024-12-06,218,32,7
429,105,2024-07-06,453,14,56
430,103,2024-10-08,293,19,36
431,103,2024-05-11,109,12,39
432,101,2024-06-16,258,16,53
433,103,2024-12-31,145,17,11
434,101,2024-12-14,448,7,15
435,104,2024-11-21,265,3,33
436,103,2024-02-03,423,29,18
437,101,2024-01-29,124,14,52
438,102,2024-09-16,438,56,37
439,105,2024-04-19,139,16,2
440,101,2024-04-03,141,18,11
441,101,2024-04-09,125,9,59
442,101,2024-02-19,58,7,14
443,103,2024-06-05,236,9,52
444,104,2024-12-22,355,7,9
445,102,2024-05-05,422,18,22
446,103,2024-05-02,359,41,10
447,102,2024-02-06,105,7,29
448,101,2024-11-17,236,32,41
449,101,2024-10-29,156,23,36
450,103,2024-03-03,321,23,13
451,103,2024-02-18,411,1,49
452,102,2024-11-29,354,48,16
453,101,2024-04-02,464,11,2
454,105,2024-04-21,466,9,25
455,102,2024-10-01,428,30,37
456,103,2024-10-30,159,11,52
457,101,2024-06-05,163,19,22
458,101,2024-05-18,322,9,18
459,104,2024-02-25,479,60,34
460,105,2024-06-14,299,1,60
461,105,2024-07-02,224,33,17
462,102,2024-07-16,229,10,10
463,101,2024-08-12,74,11,43
464,103,2024-10-05,101,8,38
465,103,2024-08-21,490,48,14
466,101,2024-06-03,372,30,58
467,102,2024-07-18,214,23,35
468,101,2024-11-28,447,44,36
469,105,2024-04-04,361,0,24
470,105,2024-08-18,111,13,35
471,102,2024-03-21,367,20,24
472,102,2024-01-06,79,3,31
473,103,2024-02-27,427,53,60
474,102,2024-02-17,462,9,58
475,103,2024-12-15,98,6,50
476,102,2024-01-08,175,6,2
477,103,2024-03-25,234,29,12
478,101,2024-05-27,150,16,18
479,102,2024-04-01,255,17,50
480,104,2024-11-28,59,1,45
481,101,2024-01-15,433,41,56
482,104,2024-11-18,373,28,0
483,103,2024-06-20,98,11,57
484,105,2024-07-19,366,29,49
485,105,2024-12-28,102,1,56
486,102,2024-11-26,304,24,7
487,101,2024-03-04,290,11,3
488,103,2024-03-08,205,13,25
489,103,2024-07-18,141,16,23
490,104,2024-08-07,226,32,42
491,105,2024-11-01,104,13,49
492,101,2024-02-18,478,51,39
493,101,2024-10-13,122,4,2
494,105,2024-12-29,54,6,10
495,101,2024-10-30,350,48,35
496,105,2024-02-15,293,7,4
497,103,2024-05-21,172,4,40
498,101,2024-04-15,361,26,31
499,102,2024-08-05,330,20,37
500,105,2024-07-22,442,52,41
501,102,2024-10-06,124,18,13
502,104,2024-05-07,408,8,1
503,101,2024-11-02,429,41,36
504,103,2024-06-10,64,7,37
505,101,2024-12-05,391,49,8
506,102,2024-04-15,391,10,23
507,101,2024-08-16,232,34,44
508,104,2024-08-28,162,24,21
509,101,2024-06-16,76,5,45
510,104,2024-04-10,52,5,54
511,103,2024-10-12,316,29,35
512,105,2024-11-28,128,13,46
513,105,2024-10-21,143,6,48
514,102,2024-01-02,328,9,46
515,102,2024-04-28,114,8,38
516,105,2024-10-17,390,32,31
517,102,2024-07-13,237,9,15
518,103,2024-08-11,272,5,52
519,105,2024-03-04,497,64,31
520,104,2024-09-28,358,35,58
521,102,2024-12-24,219,22,54
522,101,2024-01-28,276,24,50
523,102,2024-02-02,170,19,22
524,105,2024-03-29,160,23,3
525,102,2024-12-12,404,11,55
526,105,2024-11-30,399,42,19
527,102,2024-04-14,297,11,35
528,101,2024-03-31,414,17,1
529,105,2024-09-11,261,6,4
530,102,2024-08-07,239,3,45
531,101,2024-05-27,226,8,22
532,104,2024-06-25,357,36,56
533,101,2024-03-28,90,3,43
534,105,2024-10-22,205,16,39
535,101,2024-06-24,71,5,9
536,104,2024-01-28,479,50,43
537,102,2024-02-19,377,32,0
538,104,2024-09-23,357,17,51
539,103,2024-07-03,108,7,42
540,105,2024-06-04,409,17,42
541,105,2024-02-21,77,5,49
542,101,2024-05-25,271,31,21
543,103,2024-05-01,246,18,40
544,103,2024-11-28,109,4,7
545,103,2024-09-27,431,7,2
546,101,2024-10-07,405,59,41
547,105,2024-03-28,352,3,44
548,101,2024-06-25,147,12,46
549,101,2024-11-01,91,11,35
550,101,2024-04-19,209,20,5
551,104,2024-03-31,57,6,20
552,104,2024-02-10,201,7,2
553,102,2024-03-11,85,11,26
554,104,2024-03-23,448,56,4
555,104,2024-09-27,449,22,22
556,101,2024-08-22,426,55,14
557,104,2024-12-13,441,7,33
558,104,2024-07-11,103,0,30
559,103,2024-05-03,277,31,1
560,101,2024-10-12,277,25,29
561,102,2024-07-31,388,6,59
562,104,2024-04-14,160,19,18
563,102,2024-03-23,336,13,58
564,101,2024-04-21,166,14,45
565,101,2024-08-07,103,2,21
566,104,2024-04-10,105,13,34
567,102,2024-12-27,201,10,13
568,104,2024-10-16,245,35,46
569,105,2024-01-21,285,12,48
570,104,2024-05-24,277,20,34
571,105,2024-10-26,486,45,34
572,103,2024-06-17,274,6,56
573,103,2024-11-19,82,11,28
574,104,2024-04-21,113,11,5
575,103,2024-12-11,70,8,11
576,101,2024-07-11,63,2,20
577,101,2024-02-09,350,47,9
578,103,2024-12-27,459,43,39
579,105,2024-05-09,273,20,21
580,104,2024-05-25,264,33,1
581,103,2024-03-22,253,31,2
582,103,2024-08-31,174,8,29
583,105,2024-07-13,170,9,56
584,101,2024-09-20,416,26,8
585,103,2024-06-30,54,3,46
586,104,2024-10-24,317,45,37
587,103,2024-08-22,457,7,22
588,104,2024-07-27,443,31,28
589,105,2024-08-19,448,21,21
590,104,2024-08-19,478,58,47
591,102,2024-12-01,198,26,13
592,102,2024-09-09,77,10,14
593,103,2024-01-16,76,0,40
594,104,2024-08-01,352,40,48
595,103,2024-01-08,225,5,18
596,104,2024-07-21,232,15,59
597,101,2024-11-05,419,50,7
598,101,2024-08-10,389,15,21
599,105,2024-02-03,239,9,7
600,105,2024-09-13,192,20,32
601,102,2024-05-07,416,0,47
602,101,2024-07-05,365,36,48
603,101,2024-03-03,377,22,11
604,104,2024-04-04,110,7,20
605,105,2024-11-02,156,19,57
606,101,2024-07-11,83,10,13
607,103,2024-01-20,64,4,33
608,103,2024-10-09,178,3,6
609,105,2024-06-18,119,1,57
610,102,2024-11-15,394,40,23
611,101,2024-11-23,127,13,24
612,101,2024-10-01,153,8,40
613,102,2024-12-14,438,41,12
614,103,2024-08-31,264,7,10
615,103,2024-06-05,438,22,19
616,103,2024-01-12,343,20,17
617,105,2024-09-09,428,55,3
618,102,2024-06-19,311,8,41
619,104,2024-11-10,165,8,25
620,101,2024-02-11,264,31,42
621,104,2024-01-24,214,26,30
622,102,2024-10-06,54,5,2
623,101,2024-10-12,469,20,21
624,102,2024-03-15,224,31,16
625,101,2024-06-22,122,0,11
626,102,2024-07-28,322,45,10
627,102,2024-03-06,51,7,32
628,101,2024-01-26,498,37,28
629,101,2024-11-20,229,3,24
630,105,2024-02-24,308,32,46
631,103,2024-10-17,94,4,51
632,102,2024-01-14,122,16,35
633,102,2024-01-27,472,57,43
634,104,2024-11-09,432,52,0
635,105,2024-03-30,227,30,24
636,102,2024-03-31,470,40,14
637,103,2024-02-19,325,20,11
638,103,2024-01-30,353,34,17
639,101,2024-03-09,292,29,19
640,104,2024-11-19,391,38,23
641,102,2024-05-01,79,10,21
642,105,2024-03-11,113,12,4
643,105,2024-08-31,68,5,58
644,104,2024-02-10,391,48,17
645,105,2024-11-09,203,10,49
646,105,2024-06-17,496,48,34
647,104,2024-10-25,217,2,36
648,103,2024-03-30,127,4,38
649,102,2024-01-05,406,0,59
650,102,2024-05-23,291,30,20
651,102,2024-03-17,316,25,9
652,101,2024-12-08,270,28,41
653,103,2024-01-20,202,18,4
654,104,2024-04-18,230,17,20
655,105,2024-04-14,298,12,32
656,102,2024-06-02,54,3,39
657,105,2024-10-04,167,10,2
658,105,2024-03-06,136,16,2
659,105,2024-03-16,341,27,1
660,103,2024-01-09,304,37,3
661,101,2024-05-19,113,11,58
662,103,2024-02-05,443,1,21
663,101,2024-07-19,312,28,9
664,102,2024-12-24,248,36,5
665,104,2024-09-23,96,0,28
666,104,2024-07-03,454,18,17
667,105,2024-05-22,399,44,18
668,101,2024-10-05,365,34,42
669,102,2024-02-27,485,54,37
670,101,2024-09-08,342,8,3
671,101,2024-08-27,371,5,51
672,104,2024-05-02,141,0,54
673,102,2024-12-31,490,40,43
674,101,2024-10-08,58,0,26
675,104,2024-08-22,482,49,4
676,105,2024-12-30,271,18,48
677,102,2024-12-29,126,10,10
678,103,2024-02-05,59,3,17
679,101,2024-02-06,500,18,21
680,101,2024-08-07,81,9,38
681,105,2024-09-17,317,45,3
682,101,2024-03-23,84,0,25
683,105,2024-12-17,308,25,52
684,105,2024-11-21,305,36,0
685,105,2024-10-11,215,7,17
686,102,2024-07-07,413,23,3
687,101,2024-01-16,323,18,34
688,101,2024-12-19,500,14,20
689,102,2024-03-08,218,2,18
690,105,2024-08-01,341,6,27
691,102,2024-08-02,295,8,51
692,105,2024-08-31,320,25,13
693,104,2024-02-25,464,55,41
694,105,2024-10-10,172,2,25
695,102,2024-06-15,144,21,28
696,101,2024-12-27,217,8,28
697,102,2024-11-26,476,30,51
698,101,2024-10-13,470,14,57
699,104,2024-06-03,266,15,29
700,103,2024-02-22,412,0,50
701,105,2024-05-13,369,9,18
702,105,2024-04-16,304,22,27
703,104,2024-03-20,156,14,10
704,102,2024-04-02,160,14,30
705,102,2024-12-31,68,5,47
706,103,2024-11-17,70,10,13
707,104,2024-03-13,313,44,53
708,102,2024-11-27,117,4,4
709,104,2024-03-15,213,22,5
710,103,2024-07-17,367,40,21
711,101,2024-08-25,68,2,11
712,101,2024-10-06,83,7,15
713,105,2024-08-13,129,19,18
714,102,2024-03-03,59,6,3
715,104,2024-06-26,196,16,55
716,105,2024-12-11,53,6,37
717,102,2024-12-03,349,14,50
718,104,2024-07-17,159,21,57
719,104,2024-09-07,214,24,10
720,105,2024-03-05,462,65,11
721,103,2024-09-16,208,10,8
722,103,2024-03-21,139,16,19
723,102,2024-03-28,266,4,47
724,101,2024-03-28,120,1,44
725,101,2024-06-22,471,53,60
726,102,2024-06-05,182,0,49
727,103,2024-12-27,289,37,33
728,101,2024-06-19,398,32,30
729,101,2024-04-26,249,26,52
730,102,2024-07-01,328,42,38
731,105,2024-01-09,289,20,54
732,104,2024-08-04,316,17,21
733,105,2024-10-19,239,27,14
734,102,2024-12-25,451,1,5
735,105,2024-01-02,125,14,1
736,102,2024-05-22,213,16,51
737,105,2024-07-26,435,12,24
738,103,2024-06-07,405,28,23
739,104,2024-09-19,391,0,41
740,102,2024-09-12,436,40,3
741,103,2024-03-06,211,24,49
742,103,2024-07-04,110,5,24
743,105,2024-10-17,303,16,47
744,103,2024-04-29,250,0,15
745,101,2024-07-04,131,3,14
746,101,2024-03-17,87,9,43
747,101,2024-03-23,446,6,53
748,101,2024-09-08,89,6,54
749,105,2024-09-18,59,4,37
750,101,2024-06-07,160,14,27
751,102,2024-04-06,318,0,29
752,102,2024-10-15,173,6,33
753,102,2024-07-08,364,37,41
754,103,2024-10-21,64,2,15
755,105,2024-09-09,200,11,36
756,101,2024-09-19,278,41,36
757,105,2024-05-29,330,0,21
758,103,2024-11-07,354,31,42
759,105,2024-05-29,165,16,3
760,104,2024-02-01,92,2,51
761,102,2024-07-11,486,10,36
762,102,2024-06-28,186,11,29
763,103,2024-12-10,356,48,35
764,104,2024-05-09,282,36,39
765,101,2024-02-19,463,11,59
766,103,2024-06-12,118,6,19
767,103,2024-11-15,171,24,57
768,102,2024-06-18,375,56,55
769,103,2024-06-24,136,2,10
770,102,2024-06-29,274,37,2
771,101,2024-02-25,292,34,30
772,103,2024-11-26,204,17,49
773,101,2024-03-22,373,26,18
774,104,2024-03-10,124,14,60
775,102,2024-09-30,222,15,49
776,104,2024-10-26,202,4,25
777,103,2024-08-30,458,27,35
778,101,2024-09-01,241,4,41
779,101,2024-03-12,422,24,15
780,105,2024-08-01,227,25,35
781,104,2024-08-05,153,1,21
782,103,2024-11-03,300,14,40
783,103,2024-07-12,135,6,38
784,101,2024-01-24,253,17,34
785,105,2024-03-18,445,57,51
786,103,2024-11-24,460,6,13
787,104,2024-01-17,442,12,19
788,105,2024-09-17,79,0,33
789,101,2024-07-19,173,5,9
790,101,2024-04-12,173,1,59
791,102,2024-07-30,266,0,30
792,103,2024-01-13,468,64,38
793,105,2024-04-09,218,23,40
794,101,2024-12-25,280,39,30
795,105,2024-01-17,214,29,48
796,105,2024-08-24,421,53,55
797,104,2024-03-26,68,10,0
798,102,2024-04-14,446,55,38
799,103,2024-11-08,252,12,40
800,105,2024-08-07,68,10,33
801,101,2024-08-26,304,32,40
802,104,2024-12-31,326,5,17
803,105,2024-06-14,144,1,56
804,101,2024-01-17,272,37,12
805,103,2024-07-13,267,17,25
806,102,2024-03-15,273,0,33
807,104,2024-05-22,448,67,31
808,101,2024-12-16,396,35,29
809,105,2024-02-21,100,15,26
810,102,2024-08-17,436,49,59
811,103,2024-11-27,140,17,7
812,101,2024-06-26,463,42,28
813,102,2024-11-20,419,8,60
814,104,2024-09-04,225,29,47
815,104,2024-03-19,143,19,41
816,103,2024-06-01,223,13,38
817,105,2024-10-16,359,41,40
818,101,2024-03-21,220,33,31
819,101,2024-08-02,66,9,18
820,102,2024-08-07,267,15,22
